last_name,first_name,middle_name,nickname,full_name,birthday,chamber,state,party,url,address,phone,contact_form
Brown,Sherrod,,,Sherrod Brown,1952-11-09,sen,OH,Democrat,https://www.brown.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-2315,http://www.brown.senate.gov/contact/
Cantwell,Maria,,,Maria Cantwell,1958-10-13,sen,WA,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria
Cardin,Benjamin,L.,,Benjamin L. Cardin,1943-10-05,sen,MD,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/
Carper,Thomas,Richard,,Thomas R. Carper,1947-01-23,sen,DE,Democrat,https://www.carper.senate.gov/public,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper
Casey,Robert,P.,Bob,"Robert P. Casey, Jr.",1960-04-13,sen,PA,Democrat,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,https://www.casey.senate.gov/contact/
Feinstein,Dianne,,,Dianne Feinstein,1933-06-22,sen,CA,Democrat,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me
Klobuchar,Amy,Jean,,Amy Klobuchar,1960-05-25,sen,MN,Democrat,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,http://www.klobuchar.senate.gov/public/index.cfm/contact
Menendez,Robert,,Bob,Robert Menendez,1954-01-01,sen,NJ,Democrat,https://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,https://www.menendez.senate.gov/contact
Sanders,Bernard,,Bernie,Bernard Sanders,1941-09-08,sen,VT,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,http://www.sanders.senate.gov/contact/
Stabenow,Debbie,Ann,,Debbie Stabenow,1950-04-29,sen,MI,Democrat,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact
Tester,Jon,,,Jon Tester,1956-08-21,sen,MT,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator
Whitehouse,Sheldon,,,Sheldon Whitehouse,1955-10-20,sen,RI,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon
Barrasso,John,A.,,John Barrasso,1952-07-21,sen,WY,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form
Wicker,Roger,F.,,Roger F. Wicker,1951-07-05,sen,MS,Republican,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact
Collins,Susan,M.,,Susan M. Collins,1952-12-07,sen,ME,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/contact
Cornyn,John,,,John Cornyn,1952-02-02,sen,TX,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact
Durbin,Richard,J.,,Richard J. Durbin,1944-11-21,sen,IL,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/
Graham,Lindsey,O.,,Lindsey Graham,1955-07-09,sen,SC,Republican,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham
Inhofe,James,M.,Jim,James M. Inhofe,1934-11-17,sen,OK,Republican,https://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,https://www.inhofe.senate.gov/contact
McConnell,Mitch,,,Mitch McConnell,1942-02-20,sen,KY,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact
Merkley,Jeff,,,Jeff Merkley,1956-10-24,sen,OR,Democrat,https://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,http://www.merkley.senate.gov/contact/
Reed,John,F.,Jack,Jack Reed,1949-11-12,sen,RI,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/
Risch,James,E.,,James E. Risch,1943-05-03,sen,ID,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email
Shaheen,Jeanne,,,Jeanne Shaheen,1947-01-28,sen,NH,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne
Warner,Mark,R.,,Mark R. Warner,1954-12-15,sen,VA,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,http://www.warner.senate.gov/public/index.cfm?p=Contact
Gillibrand,Kirsten,E.,,Kirsten E. Gillibrand,1966-12-09,sen,NY,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me
Coons,Christopher,Andrew,,Christopher A. Coons,1963-09-09,sen,DE,Democrat,https://www.coons.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact
Manchin,Joe,,,"Joe Manchin, III",1947-08-24,sen,WV,Democrat,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form
Aderholt,Robert,B.,,Robert B. Aderholt,1965-07-22,rep,AL,Republican,https://aderholt.house.gov,266 Cannon House Office Building Washington DC 20515-0104,202-225-4876,
Baldwin,Tammy,,,Tammy Baldwin,1962-02-11,sen,WI,Democrat,https://www.baldwin.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-5653,https://www.baldwin.senate.gov/feedback
Bass,Karen,,,Karen Bass,1953-10-03,rep,CA,Democrat,https://bass.house.gov,2021 Rayburn House Office Building Washington DC 20515-0537,202-225-7084,
Bennet,Michael,F.,,Michael F. Bennet,1964-11-28,sen,CO,Democrat,https://www.bennet.senate.gov/public,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/public/index.cfm/contact
Bilirakis,Gus,M.,,Gus M. Bilirakis,1963-02-08,rep,FL,Republican,https://bilirakis.house.gov,2354 Rayburn House Office Building Washington DC 20515-0912,202-225-5755,
Bishop,Sanford,D.,,"Sanford D. Bishop, Jr.",1947-02-04,rep,GA,Democrat,https://bishop.house.gov,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631,
Blackburn,Marsha,W.,,Marsha Blackburn,1952-06-06,sen,TN,Republican,https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.blackburn.senate.gov/email-me
Blumenauer,Earl,,,Earl Blumenauer,1948-08-16,rep,OR,Democrat,https://blumenauer.house.gov,1111 Longworth House Office Building Washington DC 20515-3703,202-225-4811,
Blumenthal,Richard,,,Richard Blumenthal,1946-02-13,sen,CT,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/
Blunt,Roy,,,Roy Blunt,1950-01-10,sen,MO,Republican,https://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy
Boozman,John,,,John Boozman,1950-12-10,sen,AR,Republican,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact
Brady,Kevin,P.,,Kevin Brady,1955-04-11,rep,TX,Republican,https://kevinbrady.house.gov,1011 Longworth House Office Building Washington DC 20515-4308,202-225-4901,
Brooks,Mo,,,Mo Brooks,1954-04-29,rep,AL,Republican,https://brooks.house.gov,2185 Rayburn House Office Building Washington DC 20515-0105,202-225-4801,
Buchanan,Vern,,,Vern Buchanan,1951-05-08,rep,FL,Republican,https://buchanan.house.gov,2110 Rayburn House Office Building Washington DC 20515-0916,202-225-5015,
Bucshon,Larry,,,Larry Bucshon,1962-05-31,rep,IN,Republican,https://bucshon.house.gov,2313 Rayburn House Office Building Washington DC 20515-1408,202-225-4636,
Burgess,Michael,C.,,Michael C. Burgess,1950-12-23,rep,TX,Republican,https://burgess.house.gov,2161 Rayburn House Office Building Washington DC 20515-4326,202-225-7772,
Burr,Richard,M.,,Richard Burr,1955-11-30,sen,NC,Republican,https://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510,202-224-3154,https://www.burr.senate.gov/contact/email
Butterfield,George,Kenneth,G.K.,G. K. Butterfield,1947-04-27,rep,NC,Democrat,https://butterfield.house.gov,2080 Rayburn House Office Building Washington DC 20515-3301,202-225-3101,
Calvert,Ken,S.,,Ken Calvert,1953-06-08,rep,CA,Republican,https://calvert.house.gov,2205 Rayburn House Office Building Washington DC 20515-0542,202-225-1986,
Capito,Shelley,Moore,,Shelley Moore Capito,1953-11-26,sen,WV,Republican,https://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-6472,https://www.capito.senate.gov/contact/contact-shelley
Carson,André,,,André Carson,1974-10-16,rep,IN,Democrat,https://carson.house.gov,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,
Carter,John,R.,,John R. Carter,1941-11-06,rep,TX,Republican,https://carter.house.gov,2208 Rayburn House Office Building Washington DC 20515-4331,202-225-3864,
Cassidy,Bill,,,Bill Cassidy,1957-09-28,sen,LA,Republican,https://www.cassidy.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-5824,https://www.cassidy.senate.gov/contact
Castor,Kathy,,,Kathy Castor,1966-08-20,rep,FL,Democrat,https://castor.house.gov,2052 Rayburn House Office Building Washington DC 20515-0914,202-225-3376,
Chabot,Steve,J.,,Steve Chabot,1953-01-22,rep,OH,Republican,https://chabot.house.gov,2408 Rayburn House Office Building Washington DC 20515-3501,202-225-2216,
Chu,Judy,M.,,Judy Chu,1953-07-07,rep,CA,Democrat,https://chu.house.gov,2423 Rayburn House Office Building Washington DC 20515-0527,202-225-5464,
Cicilline,David,N.,,David N. Cicilline,1961-07-15,rep,RI,Democrat,https://cicilline.house.gov,2233 Rayburn House Office Building Washington DC 20515-3901,202-225-4911,
Clarke,Yvette,D.,,Yvette D. Clarke,1964-11-21,rep,NY,Democrat,https://clarke.house.gov,2058 Rayburn House Office Building Washington DC 20515-3209,202-225-6231,
Cleaver,Emanuel,,,Emanuel Cleaver,1944-10-26,rep,MO,Democrat,https://cleaver.house.gov,2335 Rayburn House Office Building Washington DC 20515-2505,202-225-4535,
Clyburn,James,E.,Jim,James E. Clyburn,1940-07-21,rep,SC,Democrat,https://clyburn.house.gov,274 Cannon House Office Building Washington DC 20515-4006,202-225-3315,
Cohen,Steve,,,Steve Cohen,1949-05-24,rep,TN,Democrat,https://cohen.house.gov,2104 Rayburn House Office Building Washington DC 20515-4209,202-225-3265,
Cole,Tom,,,Tom Cole,1949-04-28,rep,OK,Republican,https://cole.house.gov,2207 Rayburn House Office Building Washington DC 20515-3604,202-225-6165,
Connolly,Gerald,E.,,Gerald E. Connolly,1950-03-30,rep,VA,Democrat,https://connolly.house.gov,2238 Rayburn House Office Building Washington DC 20515-4611,202-225-1492,
Cooper,Jim,,,Jim Cooper,1954-06-19,rep,TN,Democrat,https://cooper.house.gov,1536 Longworth House Office Building Washington DC 20515-4205,202-225-4311,
Costa,Jim,,,Jim Costa,1952-04-13,rep,CA,Democrat,https://costa.house.gov,2081 Rayburn House Office Building Washington DC 20515-0516,202-225-3341,
Courtney,Joe,,,Joe Courtney,1953-04-06,rep,CT,Democrat,https://courtney.house.gov,2449 Rayburn House Office Building Washington DC 20515-0702,202-225-2076,
Crapo,Michael,D.,Mike,Mike Crapo,1951-05-20,sen,ID,Republican,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,https://www.crapo.senate.gov/contact
Crawford,Eric,A.,Rick,"Eric A. ""Rick"" Crawford",1966-01-22,rep,AR,Republican,https://crawford.house.gov,2422 Rayburn House Office Building Washington DC 20515-0401,202-225-4076,
Cuellar,Henry,,,Henry Cuellar,1955-09-19,rep,TX,Democrat,https://cuellar.house.gov,2372 Rayburn House Office Building Washington DC 20515-4328,202-225-1640,
Davis,Danny,K.,,Danny K. Davis,1941-09-06,rep,IL,Democrat,https://davis.house.gov,2159 Rayburn House Office Building Washington DC 20515-1307,202-225-5006,
DeFazio,Peter,A.,,Peter A. DeFazio,1947-05-27,rep,OR,Democrat,https://defazio.house.gov,2134 Rayburn House Office Building Washington DC 20515-3704,202-225-6416,
DeGette,Diana,L.,,Diana DeGette,1957-07-29,rep,CO,Democrat,https://degette.house.gov,2111 Rayburn House Office Building Washington DC 20515-0601,202-225-4431,
DeLauro,Rosa,L.,,Rosa L. DeLauro,1943-03-02,rep,CT,Democrat,https://delauro.house.gov,2413 Rayburn House Office Building Washington DC 20515-0703,202-225-3661,
DesJarlais,Scott,,,Scott DesJarlais,1964-02-21,rep,TN,Republican,https://desjarlais.house.gov,2304 Rayburn House Office Building Washington DC 20515-4204,202-225-6831,
Deutch,Theodore,E.,Ted,Theodore E. Deutch,1966-05-07,rep,FL,Democrat,https://teddeutch.house.gov,2323 Rayburn House Office Building Washington DC 20515-0922,202-225-3001,
Diaz-Balart,Mario,,,Mario Diaz-Balart,1961-09-25,rep,FL,Republican,https://mariodiazbalart.house.gov,374 Cannon House Office Building Washington DC 20515-0925,202-225-4211,
Doggett,Lloyd,A.,,Lloyd Doggett,1946-10-06,rep,TX,Democrat,https://doggett.house.gov,2307 Rayburn House Office Building Washington DC 20515-4335,202-225-4865,
Doyle,Michael,F.,,Michael F. Doyle,1953-08-05,rep,PA,Democrat,https://doyle.house.gov,270 Cannon House Office Building Washington DC 20515-3818,202-225-2135,
Duncan,Jeff,,,Jeff Duncan,1966-01-07,rep,SC,Republican,https://jeffduncan.house.gov,2229 Rayburn House Office Building Washington DC 20515-4003,202-225-5301,
Eshoo,Anna,G.,,Anna G. Eshoo,1942-12-13,rep,CA,Democrat,https://eshoo.house.gov,272 Cannon House Office Building Washington DC 20515-0518,202-225-8104,
